Catégorie,Tâche,Priorité,Statut,Notes
🔴 CRITIQUE - Tests Manuels,Tester le flow essai gratuit (/essai) : upload → génération → résultat,CRITIQUE,À TESTER,"Tester avec photo salon + chambre + cuisine"
🔴 CRITIQUE - Tests Manuels,Tester l'inscription après essai gratuit (email gate),CRITIQUE,À TESTER,"Vérifier que le lead est capturé dans Supabase"
🔴 CRITIQUE - Tests Manuels,Tester la génération connecté (/generate) : upload → style → génération → résultat,CRITIQUE,À TESTER,"Vérifier déduction de 1 crédit + image affichée"
🔴 CRITIQUE - Tests Manuels,Tester l'achat de crédits Stripe (pack Starter 10 crédits),CRITIQUE,À TESTER,"Utiliser carte test 4242 4242 4242 4242 — Vérifier crédits ajoutés après paiement"
🔴 CRITIQUE - Tests Manuels,Tester que le webhook Stripe fonctionne (crédits ajoutés automatiquement),CRITIQUE,À TESTER,"Vérifier dans le dashboard Stripe → Webhooks → Events récents"
🔴 CRITIQUE - Tests Manuels,Tester le dashboard : affichage des générations passées,CRITIQUE,À TESTER,"Vérifier que toutes les images générées sont visibles"
🔴 CRITIQUE - Tests Manuels,Tester avec image JPEG ET PNG ET WebP,CRITIQUE,À TESTER,"Les 3 formats doivent marcher"
🔴 CRITIQUE - Tests Manuels,Tester sur mobile (responsive),CRITIQUE,À TESTER,"Tester essai + generate + pricing sur iPhone/Android"
🟠 IMPORTANT - Variables Vercel,Vérifier NEXT_PUBLIC_FB_PIXEL_ID dans Vercel,IMPORTANT,À VÉRIFIER,"Dashboard Vercel → Settings → Environment Variables"
🟠 IMPORTANT - Variables Vercel,Vérifier NEXT_PUBLIC_GA_MEASUREMENT_ID dans Vercel,IMPORTANT,À VÉRIFIER,"Format : G-XXXXXXXXXX"
🟠 IMPORTANT - Variables Vercel,Vérifier FAL_KEY dans Vercel,IMPORTANT,À VÉRIFIER,"Sans ça aucune génération ne marche"
🟠 IMPORTANT - Variables Vercel,Vérifier STRIPE_WEBHOOK_SECRET dans Vercel,IMPORTANT,À VÉRIFIER,"CRITIQUE : sans ça les crédits ne sont JAMAIS ajoutés après paiement"
🟠 IMPORTANT - Variables Vercel,Vérifier tous les STRIPE_PRICE_* dans Vercel (Starter/Pro/Unlimited),IMPORTANT,À VÉRIFIER,"Chaque pack doit avoir un price_id valide"
🟠 IMPORTANT - Variables Vercel,Vérifier NEXT_PUBLIC_APP_URL dans Vercel,IMPORTANT,À VÉRIFIER,"URL de production (https://instadeco.ai ou domaine custom)"
🟠 IMPORTANT - Stripe Dashboard,Webhook enregistré dans Stripe Dashboard,IMPORTANT,À VÉRIFIER,"URL : https://votre-domaine/api/v2/webhooks/stripe — Event : checkout.session.completed"
🟠 IMPORTANT - Stripe Dashboard,Passer Stripe en mode LIVE (pas test),IMPORTANT,À FAIRE,"Remplacer sk_test_ par sk_live_ et pk_test_ par pk_live_"
🟠 IMPORTANT - Stripe Dashboard,Créer les Price IDs en mode live (si pas encore fait),IMPORTANT,À FAIRE,"Starter: 9.99€ / Pro: 24.99€ / Unlimited: 69.99€"
🟡 TRACKING - Facebook,Créer un Facebook Pixel dans Meta Business Suite,MOYEN,À FAIRE,"Events Manager → Créer un pixel → Copier l'ID"
🟡 TRACKING - Facebook,Configurer les événements standard dans Events Manager,MOYEN,À FAIRE,"PageView + Lead + CompleteRegistration + Purchase + InitiateCheckout"
🟡 TRACKING - Facebook,Vérifier le pixel avec l'extension Chrome 'Meta Pixel Helper',MOYEN,À TESTER,"Installer l'extension et naviguer sur le site — PageView doit fire"
🟡 TRACKING - Facebook,Configurer le domaine vérifié dans Meta Business Suite,MOYEN,À FAIRE,"Pour l'attribution iOS 14.5+ (Aggregated Event Measurement)"
🟡 TRACKING - Facebook,Configurer les 8 événements prioritaires (Aggregated Event Measurement),MOYEN,À FAIRE,"1.Purchase 2.InitiateCheckout 3.CompleteRegistration 4.Lead 5.StartGeneration 6.ViewContent 7.UploadPhoto 8.PageView"
🟡 TRACKING - Google,Vérifier GA4 dans Google Analytics Dashboard,MOYEN,À VÉRIFIER,"Temps réel → Vérifier que les pageviews arrivent"
🟡 TRACKING - Google,Configurer les conversions dans GA4,MOYEN,À FAIRE,"Marquer purchase + sign_up + generate_complete comme conversions"
🟡 TRACKING - Google,Lier GA4 à Google Ads (si Google Ads prévu),MOYEN,À FAIRE,"Admin → Liens de produit → Google Ads"
🟢 RGPD & Légal,Mettre à jour le texte du cookie banner,IMPORTANT,À FAIRE,"Le banner dit 'aucun cookie de tracking' MAIS FB Pixel + GA sont chargés → incohérence légale"
🟢 RGPD & Légal,Implémenter le Google Consent Mode v2 (ou consent manager),MOYEN,À FAIRE,"Charger GA/FB en mode dégradé avant consentement — requis en France"
🟢 RGPD & Légal,Vérifier la page Politique de Confidentialité (/legal/privacy),MOYEN,À VÉRIFIER,"Doit mentionner Facebook Pixel + Google Analytics"
🟢 RGPD & Légal,Vérifier la page CGV (/legal/cgv),MOYEN,À VÉRIFIER,"Doit mentionner les crédits non remboursables + politique retour"
🟢 RGPD & Légal,Vérifier les Mentions Légales (/legal/mentions-legales),MOYEN,À VÉRIFIER,"SIRET + éditeur + hébergeur obligatoires en France"
🔵 SEO & Landing Pages,Vérifier les meta titles/descriptions sur les pages clés,FAIBLE,À VÉRIFIER,"/essai + /pricing + /generate + homepage"
🔵 SEO & Landing Pages,Soumettre le sitemap à Google Search Console,MOYEN,À FAIRE,"https://search.google.com/search-console → Sitemaps → Ajouter"
🔵 SEO & Landing Pages,Soumettre le sitemap à Bing Webmaster,FAIBLE,À FAIRE,"https://www.bing.com/webmasters"
🔵 SEO & Landing Pages,Tester les pages avec Lighthouse (Performance > 80),MOYEN,À TESTER,"F12 → Lighthouse → Mobile → Performance + SEO + Accessibility"
🔵 SEO & Landing Pages,Tester les Open Graph avec Facebook Sharing Debugger,MOYEN,À TESTER,"https://developers.facebook.com/tools/debug/ → Tester l'URL de chaque landing"
🔵 SEO & Landing Pages,Vérifier que /essai est la landing page idéale pour les pubs,MOYEN,À DÉCIDER,"Essai gratuit = meilleur funnel : pub → essai → email → signup → achat"
🟣 CAMPAGNE - Préparation,Définir le budget quotidien Facebook Ads,MOYEN,À DÉCIDER,"Recommandé : 10-20€/jour en phase test (A/B testing)"
🟣 CAMPAGNE - Préparation,Préparer 3-5 créatifs visuels (avant/après),IMPORTANT,À FAIRE,"Format : 1080x1080 (carré) + 1080x1920 (story) — Utiliser de vraies générations du site"
🟣 CAMPAGNE - Préparation,Écrire 3 variantes de copy pour les pubs,IMPORTANT,À FAIRE,"Angle 1: Essai gratuit / Angle 2: Prix abordable / Angle 3: Résultat pro en 10s"
🟣 CAMPAGNE - Préparation,Définir l'audience cible Facebook,MOYEN,À FAIRE,"Intérêts : décoration intérieure maison aménagement — Âge : 25-55 — Geo : France"
🟣 CAMPAGNE - Préparation,Configurer le pixel Facebook CAPI (Conversions API server-side),FAIBLE,À FAIRE,"Optionnel mais améliore le tracking post iOS 14.5"
